"borough","document_id","doc_type","doc_amount","doc_date","recorded / filed","properties","borrowers","lenders"
1,"2018020900319002","AGMT",304000000,"2017-03-02 00:00:00","2018-03-07 00:00:00","{""125 BROAD STREET B1, MANHATTAN"",""125 BROAD STREET B20, MANHATTAN"",""125 BROAD STREET B24, MANHATTAN"",""125 BROAD STREET B25, MANHATTAN"",""125 BROAD STREET B26, MANHATTAN"",""125 BROAD STREET B27, MANHATTAN"",""125 BROAD STREET B28, MANHATTAN"",""125 BROAD STREET B29, MANHATTAN"",""125 BROAD STREET B30, MANHATTAN"",""125 BROAD STREET B31, MANHATTAN"",""125 BROAD STREET B32, MANHATTAN"",""125 BROAD STREET B33, MANHATTAN"",""125 BROAD STREET B34, MANHATTAN"",""125 BROAD STREET B35, MANHATTAN"",""125 BROAD STREET B36, MANHATTAN"",""125 BROAD STREET B3, MANHATTAN"",""125 BROAD STREET B, MANHATTAN"",""125 BROAD STREET G38, MANHATTAN"",""125 BROAD STREET G39, MANHATTAN"",""125 BROAD STREET G-40, MANHATTAN"",""125 BROAD STREET G, MANHATTAN""}","{""125 ACQUISTION LLC 125 BROAD STREET  US NEW YORK NY 10017"",""SULLIVAN & CROMWELL LLP 125 BROAD STREET  US NEW YORK NY 10004""}","{""WELLS FARGO BANK, NATIONAL ASSOCIATION 150 EAST 42ND STREET  35TH FLOOR  US NEW YORK NY 10017""}"
1,"2018030500342005","AGMT",185000000,"2018-02-28 00:00:00","2018-03-06 00:00:00","{""600 MADISON AVENUE , MANHATTAN""}","{""600 FEE, LLC 600 MADISON AVENUE 11TH FLOOR US NEW YORK NY 10022"",""600 PARTNERS CO., L.P. 600 MADISON AVENUE 11TH FLOOR US NEW YORK NY 10022""}","{""THE PRUDENTIAL INSURANCE COMPANY OF AMERICA 2100 ROSS AVENUE SUITE 2500 US DALLAS TX 75201""}"
1,"2018030500342006","AL&R",185000000,"2018-02-28 00:00:00","2018-03-06 00:00:00","{""600 MADISON AVENUE , MANHATTAN""}","{""600 FEE, LLC 600 MADISON AVENUE 11TH FLOOR US NEW YORK NY 10022"",""600 PARTNERS CO., L.P. 600 MADISON AVENUE 11TH FLOOR US NEW YORK NY 10022""}","{""THE PRUDENTIAL INSURANCE COMPANY OF AMERICA 2100 ROSS AVENUE SUITE 2500 US DALLAS TX 75201""}"
1,"2018031200614008","AL&R",175000000,"2018-03-06 00:00:00","2018-03-13 00:00:00","{""41-45 EAST 60TH STREET , MANHATTAN""}","{""41-45 PROPERTY OWNER, LLC C/O Z EAST 60TH MGR., LLC 445 PARK AVENUE US NEW YORK NY 10022""}","{""HSBC BANK USA, NATIONAL ASSOCIATION 452 FIFTH AVENUE  US NEW YORK NY 10018""}"
1,"2018031200614007","AGMT",175000000,"2018-03-06 00:00:00","2018-03-13 00:00:00","{""41-45 EAST 60TH STREET , MANHATTAN""}","{""41-45 PROPERTY OWNER, LLC C/O Z EAST 60TH MGR., LLC 445 PARK AVENUE US NEW YORK NY 10022""}","{""HSBC BANK USA, NATIONAL ASSOCIATION 452 FIFTH AVENUE  US NEW YORK NY 10018""}"
1,"2018031900953005","AL&R",155000000,"2018-03-15 00:00:00","2018-03-20 00:00:00","{""555 WEST 42ND STREET , MANHATTAN""}","{""RB APARTMENTS LLC C/O BARINGS LLC 180 GLASTONBURY BOULEVARD  -  SUITE 200 US GLASTONBURY CT 06033""}","{""ING CAPITAL LLC 1133 AVENUE OF THE AMERICAS  US NEW YORK NY 10036""}"
1,"2018031900953004","AGMT",155000000,"2018-03-15 00:00:00","2018-03-20 00:00:00","{""555 WEST 42ND STREET , MANHATTAN""}","{""RB APARTMENTS LLC C/O BARINGS LLC 180 GLASTONBURY BOULEVARD  -  SUITE 200 US GLASTONBURY CT 06033""}","{""ING CAPITAL LLC 1133 AVENUE OF THE AMERICAS  US NEW YORK NY 10036""}"
1,"2018030100627002","AGMT",129000000,"2018-02-26 00:00:00","2018-03-09 00:00:00","{""250 WEST 43RD STREET , MANHATTAN""}","{""250 WEST 43 OWNER III LLC C/O THE CHETRIT GROUP LLC 512 SEVENTH AVENUE, 16TH FLOOR US NEW YORK NY 10018"",""250 WEST 43 OWNER II LLC C/O THE CHETRIT GROUP, LLC 512 SEVENTH AVENUE, 16TH FLOOR US NEW YORK NY 10018"",""250 WEST 43 OWNER LLC C/O THE CHETRIT GROUP, LLC 512 SEVENTH AVENUE, 16TH FLOOR US NEW YORK NY 10018""}","{""JPMORGAN CHASE BANK,  NATIONAL ASSOCIATION 383 MADISON AVENUE  US NEW YORK NY 10179""}"
1,"2018031900953003","MTGE",100327557.98,"2018-03-15 00:00:00","2018-03-20 00:00:00","{""555 WEST 42ND STREET , MANHATTAN""}","{""RB APARTMENTS LLC C/O BARINGS LLC 180 GLASTONBURY BOULEVARD  -  SUITE 200 US GLASTONBURY CT 06033""}","{""ING CAPITAL LLC 1133 AVENUE OF THE AMERICAS  US NEW YORK NY 10036""}"
1,"2018030900958004","AL&R",100000000,"2018-03-08 00:00:00","2018-03-14 00:00:00","{""146 WEST 57TH STREET COM, MANHATTAN""}","{""MET TOWER OWNER, LLC C/O L&L MET TOWER MANAGER, LLC 142 WEST 57TH STREET US NEW YORK NY 10019""}","{""AAREAL CAPITAL CORPORATION 250 PARK AVENUE, SUITE 820  US NEW YORK NY 10177""}"
1,"2018030900958001","AGMT",100000000,"2018-03-08 00:00:00","2018-03-14 00:00:00","{""146 WEST 57TH STREET COM, MANHATTAN""}","{""MET TOWER OWNER, LLC C/O L&L MET TOWER MANAGER, LLC 142 WEST 57TH STREET US NEW YORK NY 10019""}","{""AAREAL CAPITAL CORPORATION 250 PARK AVENUE, SUITE 820  US NEW YORK NY 10177""}"
1,"2018030900338015","AGMT",91920000,"2018-03-06 00:00:00","2018-03-13 00:00:00","{""203 WEST 107 STREET , MANHATTAN"",""210 WEST 107 STREET , MANHATTAN"",""220 WEST 107 STREET , MANHATTAN"",""230 WEST 107 STREET , MANHATTAN""}","{""203 W 107 STREET LLC 1 BATTERY PARK PLAZA, SUITE 3100  US NEW YORK NY 10004"",""210 W 107 STREET LLC 1 BATTERY PARK PLAZA, SUITE 3100  US NEW YORK NY 10004"",""220 W 107 STREET LLC 1 BATTERY PARK PLAZA, SUITE 3100  US NEW YORK NY 10004"",""230 W 107 STREET LLC 1 BATTERY PARK PLAZA, SUITE 3100  US NEW YORK NY 10004""}","{""LOANCORE CAPITAL CREDIT REIT LLC C/O LOANCORE CAPITAL, 55 RAILROAD AVENUE, STE. 100  US GREENWHICH CT 06830""}"
1,"2018030900338016","AL&R",91920000,"2018-03-06 00:00:00","2018-03-13 00:00:00","{""203 WEST 107 STREET , MANHATTAN"",""210 WEST 107 STREET , MANHATTAN"",""220 WEST 107 STREET , MANHATTAN"",""230 WEST 107 STREET , MANHATTAN""}","{""203 W 107 STREET LLC 1 BATTERY PARK PLAZA, SUITE 3100  US NEW YORK NY 10004"",""210 W 107 STREET LLC 1 BATTERY PARK PLAZA, SUITE 3100  US NEW YORK NY 10004"",""220 W 107 STREET LLC 1 BATTERY PARK PLAZA, SUITE 3100  US NEW YORK NY 10004"",""230 W 107 STREET LLC 1 BATTERY PARK PLAZA, SUITE 3100  US NEW YORK NY 10004""}","{""LOANCORE CAPITAL CREDIT REIT LLC C/O LOANCORE CAPITAL, 55 RAILROAD AVENUE, STE. 100  US GREENWHICH CT 06830""}"
1,"2018031300888003","AGMT",80000000,"2018-03-09 00:00:00","2018-03-14 00:00:00","{""1657 BROADWAY , MANHATTAN""}","{""MADISON 1657 REALTY LLC C/O MADISON CAPITAL 55 EAST 59TH STREET, 17TH FLOOR US NEW YORK NY 10022""}","{""AAREAL CAPITAL CORPORATION 250 PARK AVENUE SUITE 820 US NEW YORK NY 10177""}"
1,"2018031300888004","AL&R",80000000,"2018-03-09 00:00:00","2018-03-14 00:00:00","{""1657 BROADWAY , MANHATTAN""}","{""MADISON 1657 REALTY LLC C/O MADISON CAPITAL 55 EAST 59TH STREET, 17TH FLOOR US NEW YORK NY 10022""}","{""AAREAL CAPITAL CORPORATION 250 PARK AVENUE SUITE 820 US NEW YORK NY 10177""}"
1,"2018030900367008","AL&R",71500000,"2018-02-27 00:00:00","2018-03-09 00:00:00","{""206 WEST 95TH STREET , MANHATTAN"",""214 WEST 95TH STREET , MANHATTAN""}","{""212 WEST 95 OWNER LLC C/O UNITED MANAGEMENT CORP 166 MONTAGUE STREET US BROOKLYN NY 11201""}","{""GOLDMAN SACHS BANK USA 200 WEST STREET  US NEW YORK NY 10282""}"
1,"2018031501309002","AGMT",66277288,"2018-03-07 00:00:00","2018-03-19 00:00:00","{""12 EAST 88TH STREET 10A, MANHATTAN"",""12 EAST 88TH STREET 10B, MANHATTAN"",""12 EAST 88TH STREET 1A, MANHATTAN"",""12 EAST 88TH STREET 1C, MANHATTAN"",""12 EAST 88TH STREET 2C, MANHATTAN"",""12 EAST 88TH STREET 3A, MANHATTAN"",""12 EAST 88TH STREET 4A, MANHATTAN"",""12 EAST 88TH STREET 4D, MANHATTAN"",""12 EAST 88TH STREET 5A, MANHATTAN"",""12 EAST 88TH STREET 5B, MANHATTAN"",""12 EAST 88TH STREET 6A, MANHATTAN"",""12 EAST 88TH STREET 6D, MANHATTAN"",""12 EAST 88TH STREET 7A, MANHATTAN"",""12 EAST 88TH STREET 9A, MANHATTAN"",""12 EAST 88TH STREET 9D, MANHATTAN"",""12 EAST 88TH STREET PH11A, MANHATTAN"",""12 EAST 88TH STREET PH14, MANHATTAN"",""12 EAST 88TH STREET TH-1, MANHATTAN"",""12 EAST 88TH STREET TH-2, MANHATTAN""}","{""12 EAST 88TH LLC C/O SIMON BARON DEVELOPMENT GROUP, LLC 757 3RD AVENUE 17TH FL US NEW YORK NY 10017""}","{""BANK OF THE OZARKS 8201 PRESTON RD STE 700  US DALLAS TX 75225""}"
1,"2018031900650001","MTGE",65500000,"2018-03-15 00:00:00","2018-03-20 00:00:00","{""1841 BROADWAY , MANHATTAN"",""1845 BROADWAY , MANHATTAN""}","{""1841 BROADWAY ASSOCIATES LP C/O GOLBAL HOLDINGS MANAGEMENT GROUP (US) INC. 1250 BROADWAY 38TH FLOOR US NEW YORK NY 10001"",""GLOBAL 1845 BROADWAY LLC C/O GOLBAL HOLDINGS MANAGEMENT GROUP (US) INC. 1250 BROADWAY 38TH FLOOR US NEW YORK NY 10001""}","{""LANDESBANK HESSENTHURINGEN GIROZENTRALE 420 FIFTH AVENUE 24TH FLOOR  US NEW YORK NY 100182729""}"
1,"2018031900650002","AL&R",65500000,"2018-03-15 00:00:00","2018-03-20 00:00:00","{""1841 BROADWAY , MANHATTAN"",""1845 BROADWAY , MANHATTAN""}","{""1841 BROADWAY ASSOCIATES LP C/O GOLBAL HOLDINGS MANAGEMENT GROUP (US) INC. 1250 BROADWAY 38TH FLOOR US NEW YORK NY 10001"",""GLOBAL 1845 BROADWAY LLC C/O GOLBAL HOLDINGS MANAGEMENT GROUP (US) INC. 1250 BROADWAY 38TH FLOOR US NEW YORK NY 10001""}","{""LANDESBANK HESSEN-THURINGEN GIROZENTRALE 420 FIFTH AVENUE 24TH FLOOR  US NEW YORK NY 100182729""}"
