"borough","document_id","doc_type","doc_amount","doc_date","recorded / filed","properties","borrowers","lenders"
1,"2018030600135002","AGMT",65000000,"2018-02-26 00:00:00","2018-03-07 00:00:00","{""360 CENTRAL PARK WEST 10B, MANHATTAN"",""360 CENTRAL PARK WEST 10H, MANHATTAN"",""360 CENTRAL PARK WEST 11A, MANHATTAN"",""360 CENTRAL PARK WEST 11B, MANHATTAN"",""360 CENTRAL PARK WEST 11C, MANHATTAN"",""360 CENTRAL PARK WEST 11E, MANHATTAN"",""360 CENTRAL PARK WEST 11H, MANHATTAN"",""360 CENTRAL PARK WEST 11J, MANHATTAN"",""360 CENTRAL PARK WEST 11K, MANHATTAN"",""360 CENTRAL PARK WEST 12A, MANHATTAN"",""360 CENTRAL PARK WEST 12G, MANHATTAN"",""360 CENTRAL PARK WEST 12H, MANHATTAN"",""360 CENTRAL PARK WEST 12J, MANHATTAN"",""360 CENTRAL PARK WEST 12K, MANHATTAN"",""360 CENTRAL PARK WEST 12L, MANHATTAN"",""360 CENTRAL PARK WEST 14A, MANHATTAN"",""360 CENTRAL PARK WEST 14B, MANHATTAN"",""360 CENTRAL PARK WEST 14E, MANHATTAN"",""360 CENTRAL PARK WEST 14F, MANHATTAN"",""360 CENTRAL PARK WEST 14G, MANHATTAN"",""360 CENTRAL PARK WEST 14H, MANHATTAN"",""360 CENTRAL PARK WEST 14J, MANHATTAN"",""360 CENTRAL PARK WEST 14K, MANHATTAN"",""360 CENTRAL PARK WEST 14L, MANHATTAN"",""360 CENTRAL PARK WEST 15A, MANHATTAN"",""360 CENTRAL PARK WEST 15B, MANHATTAN"",""360 CENTRAL PARK WEST 15C, MANHATTAN"",""360 CENTRAL PARK WEST 15D, MANHATTAN"",""360 CENTRAL PARK WEST 15H, MANHATTAN"",""360 CENTRAL PARK WEST 15K, MANHATTAN"",""360 CENTRAL PARK WEST 15L, MANHATTAN"",""360 CENTRAL PARK WEST 16A, MANHATTAN"",""360 CENTRAL PARK WEST 16C, MANHATTAN"",""360 CENTRAL PARK WEST 16D, MANHATTAN"",""360 CENTRAL PARK WEST 16E, MANHATTAN"",""360 CENTRAL PARK WEST 16F, MANHATTAN"",""360 CENTRAL PARK WEST 16G, MANHATTAN"",""360 CENTRAL PARK WEST 16H, MANHATTAN"",""360 CENTRAL PARK WEST 16J, MANHATTAN"",""360 CENTRAL PARK WEST 16K, MANHATTAN"",""360 CENTRAL PARK WEST 16L, MANHATTAN"",""360 CENTRAL PARK WEST 17A, MANHATTAN"",""360 CENTRAL PARK WEST 17E, MANHATTAN"",""360 CENTRAL PARK WEST 17H, MANHATTAN"",""360 CENTRAL PARK WEST 17J, MANHATTAN"",""360 CENTRAL PARK WEST 17K, MANHATTAN"",""360 CENTRAL PARK WEST 17L, MANHATTAN"",""360 CENTRAL PARK WEST 2A, MANHATTAN"",""360 CENTRAL PARK WEST 2B, MANHATTAN"",""360 CENTRAL PARK WEST 3C, MANHATTAN"",""360 CENTRAL PARK WEST 4G, MANHATTAN"",""360 CENTRAL PARK WEST 4H, MANHATTAN"",""360 CENTRAL PARK WEST 4J, MANHATTAN"",""360 CENTRAL PARK WEST 4K, MANHATTAN"",""360 CENTRAL PARK WEST 4L, MANHATTAN"",""360 CENTRAL PARK WEST 5B, MANHATTAN"",""360 CENTRAL PARK WEST 5E, MANHATTAN"",""360 CENTRAL PARK WEST 5H, MANHATTAN"",""360 CENTRAL PARK WEST 5J, MANHATTAN"",""360 CENTRAL PARK WEST 5K, MANHATTAN"",""360 CENTRAL PARK WEST 5L, MANHATTAN"",""360 CENTRAL PARK WEST 6A, MANHATTAN"",""360 CENTRAL PARK WEST 6B, MANHATTAN"",""360 CENTRAL PARK WEST 6C, MANHATTAN"",""360 CENTRAL PARK WEST 6E, MANHATTAN"",""360 CENTRAL PARK WEST 6H, MANHATTAN"",""360 CENTRAL PARK WEST 6J, MANHATTAN"",""360 CENTRAL PARK WEST 6K, MANHATTAN"",""360 CENTRAL PARK WEST 731, MANHATTAN"",""360 CENTRAL PARK WEST 7A, MANHATTAN"",""360 CENTRAL PARK WEST 7C, MANHATTAN"",""360 CENTRAL PARK WEST 7D, MANHATTAN"",""360 CENTRAL PARK WEST 7E, MANHATTAN"",""360 CENTRAL PARK WEST 7H, MANHATTAN"",""360 CENTRAL PARK WEST 7J, MANHATTAN"",""360 CENTRAL PARK WEST 7K, MANHATTAN"",""360 CENTRAL PARK WEST 8A, MANHATTAN"",""360 CENTRAL PARK WEST 8B, MANHATTAN"",""360 CENTRAL PARK WEST 8E, MANHATTAN"",""360 CENTRAL PARK WEST 8H, MANHATTAN"",""360 CENTRAL PARK WEST 9A, MANHATTAN"",""360 CENTRAL PARK WEST 9B, MANHATTAN"",""360 CENTRAL PARK WEST 9G, MANHATTAN"",""360 CENTRAL PARK WEST 9H, MANHATTAN"",""360 CENTRAL PARK WEST 9K, MANHATTAN"",""360 CENTRAL PARK WEST 9L, MANHATTAN"",""360 CENTRAL PARK WEST PHA, MANHATTAN"",""360 CENTRAL PARK WEST PHB, MANHATTAN"",""360 CENTRAL PARK WEST PHD, MANHATTAN""}","{""FIRST REPUBLIC BANK 111 PINE STREET  US SAN FRANCISCO CA 94111""}","{""360 CPW LLC 50 WEST 17TH STREET  US NEW YORK NY 10011""}"
1,"2018032000092002","AGMT",65000000,"2018-03-05 00:00:00","2018-03-28 00:00:00","{""360 CENTRAL PARK WEST 10B, MANHATTAN"",""360 CENTRAL PARK WEST 10H, MANHATTAN"",""360 CENTRAL PARK WEST 11A, MANHATTAN"",""360 CENTRAL PARK WEST 11B, MANHATTAN"",""360 CENTRAL PARK WEST 11C, MANHATTAN"",""360 CENTRAL PARK WEST 11E, MANHATTAN"",""360 CENTRAL PARK WEST 11H, MANHATTAN"",""360 CENTRAL PARK WEST 11J, MANHATTAN"",""360 CENTRAL PARK WEST 11K, MANHATTAN"",""360 CENTRAL PARK WEST 12A, MANHATTAN"",""360 CENTRAL PARK WEST 12G, MANHATTAN"",""360 CENTRAL PARK WEST 12H, MANHATTAN"",""360 CENTRAL PARK WEST 12J, MANHATTAN"",""360 CENTRAL PARK WEST 12K, MANHATTAN"",""360 CENTRAL PARK WEST 12L, MANHATTAN"",""360 CENTRAL PARK WEST 14A, MANHATTAN"",""360 CENTRAL PARK WEST 14B, MANHATTAN"",""360 CENTRAL PARK WEST 14E, MANHATTAN"",""360 CENTRAL PARK WEST 14F, MANHATTAN"",""360 CENTRAL PARK WEST 14G, MANHATTAN"",""360 CENTRAL PARK WEST 14H, MANHATTAN"",""360 CENTRAL PARK WEST 14J, MANHATTAN"",""360 CENTRAL PARK WEST 14K, MANHATTAN"",""360 CENTRAL PARK WEST 14L, MANHATTAN"",""360 CENTRAL PARK WEST 15A, MANHATTAN"",""360 CENTRAL PARK WEST 15B, MANHATTAN"",""360 CENTRAL PARK WEST 15C, MANHATTAN"",""360 CENTRAL PARK WEST 15D, MANHATTAN"",""360 CENTRAL PARK WEST 15H, MANHATTAN"",""360 CENTRAL PARK WEST 15K, MANHATTAN"",""360 CENTRAL PARK WEST 15L, MANHATTAN"",""360 CENTRAL PARK WEST 16A, MANHATTAN"",""360 CENTRAL PARK WEST 16C, MANHATTAN"",""360 CENTRAL PARK WEST 16D, MANHATTAN"",""360 CENTRAL PARK WEST 16E, MANHATTAN"",""360 CENTRAL PARK WEST 16F, MANHATTAN"",""360 CENTRAL PARK WEST 16G, MANHATTAN"",""360 CENTRAL PARK WEST 16H, MANHATTAN"",""360 CENTRAL PARK WEST 16J, MANHATTAN"",""360 CENTRAL PARK WEST 16K, MANHATTAN"",""360 CENTRAL PARK WEST 16L, MANHATTAN"",""360 CENTRAL PARK WEST 17A, MANHATTAN"",""360 CENTRAL PARK WEST 17E, MANHATTAN"",""360 CENTRAL PARK WEST 17H, MANHATTAN"",""360 CENTRAL PARK WEST 17J, MANHATTAN"",""360 CENTRAL PARK WEST 17K, MANHATTAN"",""360 CENTRAL PARK WEST 17L, MANHATTAN"",""360 CENTRAL PARK WEST 2A, MANHATTAN"",""360 CENTRAL PARK WEST 2B, MANHATTAN"",""360 CENTRAL PARK WEST 3C, MANHATTAN"",""360 CENTRAL PARK WEST 4G, MANHATTAN"",""360 CENTRAL PARK WEST 4H, MANHATTAN"",""360 CENTRAL PARK WEST 4J, MANHATTAN"",""360 CENTRAL PARK WEST 4K, MANHATTAN"",""360 CENTRAL PARK WEST 4L, MANHATTAN"",""360 CENTRAL PARK WEST 5B, MANHATTAN"",""360 CENTRAL PARK WEST 5E, MANHATTAN"",""360 CENTRAL PARK WEST 5H, MANHATTAN"",""360 CENTRAL PARK WEST 5J, MANHATTAN"",""360 CENTRAL PARK WEST 5K, MANHATTAN"",""360 CENTRAL PARK WEST 5L, MANHATTAN"",""360 CENTRAL PARK WEST 6A, MANHATTAN"",""360 CENTRAL PARK WEST 6B, MANHATTAN"",""360 CENTRAL PARK WEST 6C, MANHATTAN"",""360 CENTRAL PARK WEST 6E, MANHATTAN"",""360 CENTRAL PARK WEST 6H, MANHATTAN"",""360 CENTRAL PARK WEST 6J, MANHATTAN"",""360 CENTRAL PARK WEST 6K, MANHATTAN"",""360 CENTRAL PARK WEST 731, MANHATTAN"",""360 CENTRAL PARK WEST 7A, MANHATTAN"",""360 CENTRAL PARK WEST 7C, MANHATTAN"",""360 CENTRAL PARK WEST 7D, MANHATTAN"",""360 CENTRAL PARK WEST 7H, MANHATTAN"",""360 CENTRAL PARK WEST 7J, MANHATTAN"",""360 CENTRAL PARK WEST 7K, MANHATTAN"",""360 CENTRAL PARK WEST 8A, MANHATTAN"",""360 CENTRAL PARK WEST 8B, MANHATTAN"",""360 CENTRAL PARK WEST 8E, MANHATTAN"",""360 CENTRAL PARK WEST 8H, MANHATTAN"",""360 CENTRAL PARK WEST 9A, MANHATTAN"",""360 CENTRAL PARK WEST 9B, MANHATTAN"",""360 CENTRAL PARK WEST 9G, MANHATTAN"",""360 CENTRAL PARK WEST 9H, MANHATTAN"",""360 CENTRAL PARK WEST 9K, MANHATTAN"",""360 CENTRAL PARK WEST 9L, MANHATTAN"",""360 CENTRAL PARK WEST PHA, MANHATTAN"",""360 CENTRAL PARK WEST PHB, MANHATTAN"",""360 CENTRAL PARK WEST PHD, MANHATTAN""}","{""FIRST REPUBLIC BANK 111 PINE STREET  US SAN FRANCISCO CA 94111""}","{""360 CPW LLC 50 WEST 17TH STREET C/O ARGO REAL ESTATE LLC US NEW YORK NY 10011""}"
1,"2018031900177003","AGMT",60000000,"2018-03-15 00:00:00","2018-03-19 00:00:00","{""729 7 AVENUE UNIT2, MANHATTAN""}","{""729 ACQUISITION LLC 30 WEST 26TH STREET, 8TH FLOOR  US NEW YORK NY 10010""}","{""SIGNATURE BANK 68 SOUTH SERVICE ROAD  US MELVILLE NY 11747""}"
1,"2018031900177004","AL&R",60000000,"2018-03-15 00:00:00","2018-03-19 00:00:00","{""729 7 AVENUE UNIT2, MANHATTAN""}","{""729 ACQUISITION LLC 30 WEST 26TH STREET, 8TH FLOOR  US NEW YORK NY 10010""}","{""SIGNATURE BANK 68 SOUTH SERVICE ROAD  US MELVILLE NY 11747""}"
1,"2018030500414006","AGMT",60000000,"2018-02-16 00:00:00","2018-03-06 00:00:00","{""514 WEST 24TH STREET , MANHATTAN""}","{""514 WEST 24TH OWNER LLC C/O JDS DEVELOPMENT GROUP 104 5TH AVENUE, 9TH FLOOR US NEW YORK NY 10011""}","{""514 WEST 24TH STREET 1 LLC 825 THIRD AVENUE, 37TH FLOOR  US NEW YORK NY 10022""}"
1,"2018030500414007","AL&R",60000000,"2018-02-16 00:00:00","2018-03-06 00:00:00","{""514 WEST 24TH STREET , MANHATTAN""}","{""514 WEST 24TH OWNER LLC C/O JDS DEVELOPMENT GROUP 104 5TH AVENUE, 9TH FLOOR US NEW YORK NY 10011""}","{""514 WEST 24TH STREET 1 LLC 825 THIRD AVENUE, 37TH FLOOR  US NEW YORK NY 10022""}"
1,"2018030400003001","AGMT",57100000,"2016-11-21 00:00:00","2018-03-05 00:00:00","{""112 EAST 11TH STREET , MANHATTAN""}","{""US-DEV ASSOCIATES LLC C/O THE LIGHTSTONE GROUP 1985 CEDAR BRIDGE AVENUE, SUITE 1 US LAKEWOOD NJ 08701""}","{""TRI-STATE LOAN ACQUISITIONS IV LLC C/O RUBIN, EHRLICH & BUCKLEY, PC 3150 BRUNSWICK PIKE, SUITE 310 US LAWRENCEVILLE NJ 08648""}"
1,"2018022001048003","AL&R",51412491,"2018-02-16 00:00:00","2018-03-12 00:00:00","{""511 EAST 86TH STREET , MANHATTAN""}","{""CARRERA RS LLC C/O SKY MANAGEMENT CORP. 226 EAST 54TH STREET, SUITE 402 US NEW YORK NY 10022""}","{""FIRST REPUBLIC BANK 111 PINE STREET  US SAN FRANCISCO CA 94111""}"
1,"2018022001048002","MTGE",51412491,"2018-02-16 00:00:00","2018-03-12 00:00:00","{""511 EAST 86TH STREET , MANHATTAN""}","{""CARRERA RS LLC C/O SKY MANAGEMENT CORP. 226 EAST 54TH STREET, SUITE 402 US NEW YORK NY 10022""}","{""FIRST REPUBLIC BANK 111 PINE STREET  US SAN FRANCISCO CA 94111""}"
1,"2018030500961008","AL&R",50000000,"2018-02-23 00:00:00","2018-03-08 00:00:00","{""21 WEST END AVENUE RESL, MANHATTAN"",""21 WEST END AVENUE RESM, MANHATTAN"",""21 WEST END AVENUE RET, MANHATTAN""}","{""RIVERSIDE CENTER 2 BIT OWNER, LLC C/O THE DERMOT COMPANY, INC. 729 SEVENTH AVENUE, 15TH FLOOR US NEW YORK NY 10019""}","{""NEW YORK STATE HOUSING FINANCE AGENCY 641 LEXINGTON AVENUE  US NEW YOR NY 10022""}"
1,"2018030500961007","MTGE",50000000,"2018-02-23 00:00:00","2018-03-08 00:00:00","{""21 WEST END AVENUE RESL, MANHATTAN"",""21 WEST END AVENUE RESM, MANHATTAN"",""21 WEST END AVENUE RET, MANHATTAN""}","{""RIVERSIDE CENTER 2 BIT OWNER, LLC C/O THE DERMOT COMPANY, INC. 729 SEVENTH AVENUE, 15TH FLOOR US NEW YORK NY 10019""}","{""NEW YORK STATE HOUSING FINANCE AGENCY 641 LEXINGTON AVENUE  US NEW YOR NY 10022""}"
1,"2018032800994001","AGMT",44442249.7,"2018-03-23 00:00:00","2018-03-28 00:00:00","{""179 WEST 137 STREET , MANHATTAN""}","{""BRP RENNY LLC C/O BRP DEVELOPMENT CORPORATION 767 THIRD AVENUE, 33RD FLOOR US NEW YORK NY 10017""}","{""SANTANDER BANK, N.A. 45 EAST 53RD STREET  US NEW YORK NY 10022""}"
1,"2018030900367006","MTGE",43086576,"2018-02-27 00:00:00","2018-03-09 00:00:00","{""206 WEST 95TH STREET , MANHATTAN"",""214 WEST 95TH STREET , MANHATTAN""}","{""212 WEST 95 OWNER LLC C/O UNITED MANAGEMENT CORP 166 MONTAGUE STREET US BROOKLYN NY 11201""}","{""GOLDMAN SACHS BANK USA 200 WEST STREET  US NEW YORK NY 10282""}"
1,"2018032600711002","MTGE",43000000,"2018-03-22 00:00:00","2018-03-30 00:00:00","{""420 EAST 80TH STREET , MANHATTAN""}","{""420 EAST 80TH LLC 2329 NOSTRAND AVENUE SUITE 500 US BROOKLYN NY 11210""}","{""SIGNATURE BANK 68 SOUTH SERVICE ROAD  US MELVILLE NY 11747""}"
1,"2018032600711003","AL&R",43000000,"2018-03-20 00:00:00","2018-03-30 00:00:00","{""420 EAST 80TH STREET , MANHATTAN""}","{""420 EAST 80TH LLC 2329 NOSTRAND AVENUE SUITE 500 US BROOKLYN NY 11210""}","{""SIGNATURE BANK 68 SOUTH SERVICE ROAD  US MELVILLE NY 11747""}"
1,"2018030400003007","AL&R",42562279,"2018-02-16 00:00:00","2018-03-05 00:00:00","{""112 EAST 11TH STREET , MANHATTAN""}","{""US-DEV ASSOCIATES LLC C/O THE LIGHTSTONE GROUP 1985 CEDAR BRIDGE AVENUE, SUITE 1 US LAKEWOOD NJ 08701""}","{""BANK OF THE OZARKS 8201 PRESTON ROAD, SUITE 700  US DALLAS TX 75225""}"
1,"2018030400003006","MTGE",42562279,"2018-02-16 00:00:00","2018-03-05 00:00:00","{""112 EAST 11TH STREET , MANHATTAN""}","{""US-DEV ASSOCIATES LLC C/O THE LIGHTSTONE GROUP 1985 CEDAR BRIDGE AVENUE, SUITE 1 US LAKEWOOD NJ 08701""}","{""BANK OF THE OZARKS 8201 PRESTON ROAD, SUITE 700  US DALLAS TX 75225""}"
