"document_id","doc_type","bbl","full_address","unit","borough","property_type","recorded / filed","doc_amount"
"2018030500320001","DEED",2058232571,"434 WEST 250 STREET","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-09 00:00:00",1200000
"2018031600116001","DEED",2058293668,"5041 FIELDSTON ROAD","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-20 00:00:00",1110000
"2018031500320001","DEED",2057400337,"3115 NETHERLAND AVENUE","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-15 00:00:00",995000
"2018031900585001","DEED",2058161867,"NAN TIBBETT AVENUE","","BRONX","RESIDENTIAL VACANT LAND","2018-03-20 00:00:00",925000
"2018031900585001","DEED",2058161914,"326 COLLEGE ROAD","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-20 00:00:00",925000
"2018030801306001","DEED",2057360034,"3021 ARLINGTON AVENUE","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-13 00:00:00",900000
"2018032000435001","DEED",2058650465,"5906 HUXLEY AVENUE","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-20 00:00:00",896525
"2018022800337001","BOTH RPTT AND RETT",2059190436,"3777 INDEPENDENCE AVENUE","2H","BRONX","SINGLE RESIDENTIAL COOP UNIT","2018-03-01 00:00:00",655000
"2018021900333001","DEED",2043910012,"2218 WOODHULL AVENUE","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-01 00:00:00",650000
"2018031301229001","BOTH RPTT AND RETT",2059010001,"3333 HENRY HUDSON PARKWAY","4P/R","BRONX","SINGLE RESIDENTIAL COOP UNIT","2018-03-22 00:00:00",650000
"2018032600165001","BOTH RPTT AND RETT",2057780879,"3875 WALDO AVE","11T","BRONX","SINGLE RESIDENTIAL COOP UNIT","2018-03-28 00:00:00",650000
"2018012600778001","DEED",2057911041,"3536 CAMBRIDGE AVENUE","4A","BRONX","SINGLE RESIDENTIAL CONDO UNIT","2018-03-07 00:00:00",625000
"2018022800428001","DEED",2022780038,"460 EAST 134TH STREET","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-12 00:00:00",620000
"2018032101051001","DEED",2043640037,"1068 WARING AVENUE","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-22 00:00:00",575000
"2018030900612001","DEED",2055350111,"940 BRINSMADE AVENUE","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-16 00:00:00",570000
"2018031900675001","DEED",2054150101,"3259 GRISWOLD AVENUE","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-19 00:00:00",570000
"2018032300064001","DEED",2044780014,"2404 EASTCHESTER ROAD","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-28 00:00:00",540000
"2018022601083001","DEED",2056450072,"427 KING AVENUE","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-02 00:00:00",535000
"2018022701446001","DEED",2044530140,"1120 MACE AVENUE","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-08 00:00:00",530000
"2018031501064001","DEED",2054590049,"1024 THROGMORTON AVENUE","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-23 00:00:00",530000
"2018022600083001","DEED",2056390012,"150 MARINE STREET","","BRONX","DWELLING ONLY - 1 FAMILY","2018-03-06 00:00:00",520000
"2018022701451001","DEED",2054171021,"1400 OUTLOOK AVENUE","2","BRONX","SINGLE RESIDENTIAL CONDO UNIT","2018-03-08 00:00:00",499000
