"id","geom","borough","block","lot","cd","ct2010","cb2010","schooldist","council","zipcode","firecomp","policeprct","healthcent","healtharea","sanitboro","sanitdistr","sanitsub","address","zonedist1","zonedist2","zonedist3","zonedist4","overlay1","overlay2","spdist1","spdist2","spdist3","ltdheight","splitzone","bldgclass","landuse","easements","ownertype","ownername","lotarea","bldgarea","comarea","resarea","officearea","retailarea","garagearea","strgearea","factryarea","otherarea","areasource","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","bsmtcode","assessland","assesstot","exemptland","exempttot","yearbuilt","yearalter1","yearalter2","histdist","landmark","builtfar","residfar","commfar","facilfar","borocode","bbl","condono","tract2010","xcoord","ycoord","zonemap","zmcode","sanborn","taxmap","edesignum","appbbl","appdate","plutomapid","firm07_fla","pfirm15_fl","version","mappluto_f","shape_leng","shape_area"
60,"01060000203E9101000100000001030000000100000005000000809CA263241E2E4100A0F83107BC0A41804AEA04BF1D2E4100F0F44A26B90A4100B1506B111D2E41000C71ACA6BA0A418094F686761D2E4100C442AD85BD0A41809CA263241E2E4100A0F83107BC0A41","MN",1083,22,104,"135","1009","02",6,10019,"E040",18,15,4500,"1","04","3B","513 WEST 54 STREET","M1-5","","","","","","CL","","","","N","J6","05",0,"P","MANHATTAN TELEPORT IN",10042,21100,21100,0,0,0,0,0,0,21100,"2",1,4,0,1,100,100.42,70,100,"","0","N","5","5",963000,2254500,0,0,1960,1998,0,"","",2.1,0,5,6.5,1,1010830022,0,"0135",986829,218986,"8c","","106W007","10405","",0,"","1","","","17V1.1",0,408.424267228,10417.2504474
404,"01060000203E91010001000000010300000001000000090000000086C954F1252E4100401361815A0A41001C7C618E252E4100F831E6B5570A410023DB7923252E4100567DAEA2580A41000A6862C0242E4100E8482ED6550A4100CD3B4E9D242E4100BC051223560A41005A647B00252E41007C832FF0580A4180AC8B1BC8242E4100DEE00B6D590A4100E10B932A252E4100029A08355C0A410086C954F1252E4100401361815A0A41","MN",1017,10,105,"119","2001","02",3,10036,"L004",18,15,5200,"1","05","2A","249 WEST 45 STREET","C6-5","","","","","","MID","","","","N","J4","05",0,"","IMPERIAL THEATRE, LLC",13350,40110,40110,0,0,0,0,0,0,40110,"2",1,3,0,1,20,200.83,20,201,"","3","Y","5","2",2362500,3294900,0,0,1923,0,0,"","",3,10,10,10,1,1010170010,0,"0119",987811,215876,"8d","","105N046","10402","",0,"","1","","","17V1.1",0,635.351706422,13601.8114999
1128,"01060000203E91010001000000010300000001000000070000000067D56704242E41009C559F4B3B0A41807268914C232E4100EA2631E43C0A4180006F41AA232E4100E04F8D963F0A418091ED7CC1232E41001E85EB623F0A418014AE07CB232E4100A4923AA93F0A41000A68A26B242E4100168C4A443E0A410067D56704242E41009C559F4B3B0A41","MN",1014,20,105,"119","2005","02",3,10036,"E026",14,15,5200,"1","05","","215 WEST 42 STREET","C6-7","C6-5","","","","","MID","","","","Y","J4","05",0,"C","NYC EDC",10401,12176,12176,0,0,0,0,0,0,12176,"2",1,3,0,1,105,100.42,100.5,81.92,"EG","0","Y","6","5",2106000,7118550,2106000,7118550,1919,2006,0,"","",1.17,10,15,15,1,1010140020,0,"0119",987630,214961,"8d","","105N045","10402","",0,"","1","","","17V1.1",0,426.686268457,11243.105758
1407,"01060000203E910100010000000103000000010000000900000080840D4FEA152E4100280F0BDAB50A4180408262D1152E41001C0DE024B50A41801A2FDD6E152E41005CB1BF58B20A4100E4835E57152E4100B437F8ADB10A41005839B43D152E4100FA7E6AF3B00A41002B87D626152E4100EA04344DB00A418017B711CD142E4100787AA513B10A4180A7578A90152E4100B6847CA0B60A4180840D4FEA152E4100280F0BDAB50A41","MN",1099,27,104,"135","2005","02",3,10019,"E040",18,15,4500,"1","04","3B","605 WEST 51 STREET","M2-4","","","","","","CL","","","","N","J9","05",0,"","MODERN COMMUNICATIONS",10041,23500,23500,0,0,0,0,0,0,23500,"2",1,3,0,2,50,200.83,50,200,"","3","N","4","0",792000,2130750,0,0,1925,1988,0,"","",2.34,0,5,0,1,1010990027,0,"0135",985773,218734,"8c","","105N050","10405","R-4",0,"","1","","","17V1.1",0,508.007065667,10396.0261418
1580,"01060000203E910100010000000103000000010000000500000080B6F37D7B832E410060E5D06E770D410052B81E17832E41003E9B5590740D4100FDF6B5BE822E410094658853750D41806FF04523832E410068446933780D4180B6F37D7B832E410060E5D06E770D41","MN",2066,59,109,"235.01","3000","06",7,10031,"L034",30,17,710,"1","09","3B","466 WEST 152 STREET","R6A","","","","","","","","","","N","J1","05",0,"P","DANCE THEATRE OF HARL",4996,15000,15000,0,0,0,0,0,0,15000,"2",1,2,0,2,50,99.92,50,93,"","2","N","5","2",193500,929250,193500,929250,1926,1986,1993,"","",3,3,0,3,1,1020660059,0,"023501",999822,241356,"3b","","111N057","10710","",0,"","1","","","17V1.1",0,310.44636055,5287.9930946
1794,"01060000203E910100010000000103000000010000000900000080605492C4772E4100460378FA9C0C418047E13A63772E4100B615FB389A0C4180B0E1E908772E4100C0CAA1009B0C4100C05BA0A5762E410004780B31980C4180764F9E4F762E4100560E2DEF980C41806ABC34B4762E41000EE02DC89B0C4180506B1A5B762E41009E80268D9C0C41009D1125BB762E410034EF38459F0C4180605492C4772E4100460378FA9C0C41","MN",1931,17,110,"222","1000","05",9,10027,"E037",28,11,1500,"1","10","1A","233 WEST 125 STREET","C4-4A","C4-7","","","","","125","","","","Y","J2","05",0,"P","HARLEM URBAN DVLPMNTC",19984,90000,90000,0,0,1600,0,0,0,88400,"2",1,3.5,0,3,50,199.83,50,200,"E","3","Y","4","2",1395000,4352400,1395000,4352400,1917,1986,0,"","",4.5,4,4,4,1,1019310017,0,"0222",998277,234393,"6a","","107N086","10705","",0,"","1","","","17V1.1",0,710.191906723,20252.7077273
1839,"01060000203E910100010000000103000000010000000900000080D71232430E2E41001A2FDDB0B6094100DFE00BE00D2E41003CDF4FDCB30941806588E30A0E2E4100E8482E7DB3094100ADFA9CAB0D2E41001EC9E5C4B00941006B2BB6FA0C2E4100CC5D4B4DB20941001DC9A55A0D2E41006666660AB50941008BFD25370D2E410034113659B5094180BB9690990D2E4100D6E76A28B8094180D71232430E2E41001A2FDDB0B60941","MN",772,75,104,"91","4000","02",3,10011,"L012",10,15,5200,"1","04","1A","256 WEST 23 STREET","C2-7A","R8B","","","","","","","","","Y","J9","05",0,"P","POPCORN & SODA ASSETS",19256,97435,97435,0,0,0,0,0,0,97435,"2",1,5,0,2,95,99,70,98,"","3","N","5","2",2601000,12442500,0,0,1900,1980,0,"","",5.06,7.52,2,7.5,1,1007720075,0,"0091",984783,210574,"8d","","105S009","10304","",1007720008,"12/19/1988","1","","","17V1.1",0,647.744097897,20027.1825397
2073,"01060000203E91010001000000010300000001000000060000008016D9CED9282E4100068195576C0A4180855AD31D292E410026C286C16B0A4180C42030BA282E4100547424ED680A41807EFBFA32282E4100AEB662176A0A41009B559F96282E41006007CEEB6C0A418016D9CED9282E4100068195576C0A41","MN",1020,14,105,"125","2000","02",3,10036,"L004",18,15,4700,"1","05","2A","219 WEST 48 STREET","C6-5","C6-7T","","","","","MID","","","","Y","J4","05",0,"P","JUJAMCYN  THEATERS LL",8034,7200,7200,0,0,0,0,0,0,7200,"2",1,4,0,1,80,201.2,83,201.2,"","2","N","5","2",1350000,1959750,0,0,1924,1989,0,"","",0.9,10,10,10,1,1010200014,0,"0125",988244,216413,"8c","","105N057","10402","",0,"","1","","","17V1.1",0,361.104933752,7978.85612216
2313,"01060000203E910100010000000103000000010000000A000000007C61B207182E410082E2C793520A4180855A13A7172E4100DAACFADA4F0A410069006FCE172E41003480B7834F0A4100B459F5BB172E4100DA1B7CFE4E0A4100B5A63996172E410088635DEE4D0A4180742417E8162E4100D8A370704F0A418089B0A11F172E4100DAACFA00510A4180787A654C172E4100C898BB9D500A418005A392AD172E4100065F985B530A41007C61B207182E410082E2C793520A41","MN",1051,29,104,"115","2000","02",3,10036,"L021",10,15,4500,"1","04","2A","563 WEST 41 STREET","C6-4","","","","","","CL","","","","N","J9","05",0,"","42ND ST. DEVELOPMENTC",16024,33100,33100,0,0,0,0,0,0,33100,"2",2,5,0,1,225,154.3,0,0,"","0","Y","5","5",1318500,3870000,0,0,2000,0,0,"","",2.07,10,10,10,1,1010510029,0,"0115",986048,215567,"8d","","105N041","10404","",1010510029,"12/31/2001","1","","","17V1.1",0,514.243532072,10878.6952784
2427,"01060000203E9101000100000001030000000100000005000000003867C44D362E4100A62C434EFB0A4180F606DFEA352E4100CAA14587F80A410090A0383C352E41006EA3010AFA0A4180D1001E9F352E41002497FFD0FC0A41003867C44D362E4100A62C434EFB0A41","MN",1119,43,107,"153","7001","03",6,10023,"L035",20,15,4000,"1","07","1A","30 WEST 67 STREET","C4-7","","","","","","","","","","N","J6","05",0,"P","AMERICAN BROADCASTING",10042,129885,129885,0,129885,0,0,0,0,0,"2",1,15,0,1,100,100,100,100,"","3","N","5","0",3897000,11193300,0,0,1978,1979,0,"Upper West Side/Central Park West Histor","",12.93,10,10,10,1,1011190043,0,"0153",989922,221013,"8c","","106W025","10406","",0,"","1","","","17V1.1",0,403.033315494,10151.3235892
