"id","geom","borough","block","lot","cd","ct2010","cb2010","schooldist","council","zipcode","firecomp","policeprct","healthcent","healtharea","sanitboro","sanitdistr","sanitsub","address","zonedist1","zonedist2","zonedist3","zonedist4","overlay1","overlay2","spdist1","spdist2","spdist3","ltdheight","splitzone","bldgclass","landuse","easements","ownertype","ownername","lotarea","bldgarea","comarea","resarea","officearea","retailarea","garagearea","strgearea","factryarea","otherarea","areasource","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","bsmtcode","assessland","assesstot","exemptland","exempttot","yearbuilt","yearalter1","yearalter2","histdist","landmark","builtfar","residfar","commfar","facilfar","borocode","bbl","condono","tract2010","xcoord","ycoord","zonemap","zmcode","sanborn","taxmap","edesignum","appbbl","appdate","plutomapid","firm07_fla","pfirm15_fl","version","mappluto_f","shape_leng","shape_area"
2891,"01060000203E9101000100000001030000000100000005000000808EE432061E2E4100C8073D66E608410030BB279D1D2E4100925CFE74E308410054E365711D2E41008204C5D5E3084180FF907EDA1D2E410042F163C7E60841808EE432061E2E4100C8073D66E60841","MN",459,18,103,"38","3001","01",2,10003,"E028",9,14,6500,"1","03","3B","64 EAST 4 STREET","R8B","","","","","","","","","","N","J7","05",0,"P","CHOICIRCIATI CULTURAL",2633,7500,7500,0,0,0,0,0,0,7500,"2",1,4,0,1,25,105.33,25,90,"","0","N","5","5",220500,450900,220500,450900,1920,1996,1996,"East Village/Lower East Side Historic Di","",2.85,4,0,4,1,1004590018,0,"0038",986845,203939,"12c","","102 009","10205","E-216",1004590014,"01/03/1995","1","","","17V1.1",0,265.681634705,2696.01416102
2994,"01060000203E9101000100000001030000000100000006000000804F1E960B262E4100E8D9ACFB500A418001BC8542252E41005AD3BC4D4B0A4180AA605469242E4100CCCCCC294D0A4180D85F36CE242E4100D24D6203500A4100780B6432252E4100C876BED7520A41804F1E960B262E4100E8D9ACFB500A41","MN",1016,15,105,"119","2002","02",3,10036,"L004",14,15,5200,"1","05","2A","222 WEST 45 STREET","C6-5","","","","","","MID","","","","N","J4","05",0,"P","SHUBERT AND BOOTH THE",25305,60232,60232,0,0,0,0,0,0,42714,"2",2,5,0,2,126.04,200.83,95,90,"E","1","N","4","0",3780000,6551100,0,0,1912,0,0,"","BOOTH THEATER",2.38,10,10,10,1,1010160015,0,"0119",987805,215522,"8d","","105N046","10402","",0,"","1","","","17V1.1",0,663.054113552,25719.5651624
2998,"01060000203E9101000100000001030000000100000006000000002B8796461F2E4100728A8ED0D0084180C1A8A42A1F2E410068006F06D008410063EE5A111F2E410094A9824FCF08418048BF7D5D1E2E410076029ADBD0084100ABCF95921E2E4100FC87F45CD20841002B8796461F2E4100728A8ED0D00841","MN",443,8,103,"36.02","1001","01",2,10003,"E028",9,14,6500,"1","03","3B","32 2 AVENUE","C6-2A","","","","","","","","","","N","J5","05",0,"P","FILM ART FUND INC",5450,8900,8900,0,0,0,0,0,0,8900,"2",1,2,0,4,54.5,100,44,97,"","2","N","3","2",513000,1345500,513000,1345500,1920,2006,0,"East Village/Lower East Side Historic Di","",1.63,6.02,6,6.5,1,1004430008,0,"003602",986985,203290,"12c","","102 010","10205","E-216",0,"","1","","","17V1.1",0,315.40017234,5648.48975575
3117,"01060000203E910100010000000103000000010000000600000000DCD741F3182E4100FCCBEE98640A4100EA95F290182E4100BC270FD8610A410080B78079182E4100482EFF0B620A41004B59864A182E4100E0BE0E74620A410098DDD3AC182E41008AB0E134650A4100DCD741F3182E4100FCCBEE98640A41","MN",1053,45,104,"121","3000","02",3,10036,"E054",18,15,4500,"1","04","3B","422 WEST 44 STREET","R8","","","","","","CL","","","","N","J7","05",0,"X","NEW DRAMATISTS COMMIT",4017,8050,8050,0,0,8050,0,0,0,0,"2",1,3,0,2,40,100.42,40,100,"","3","N","5","2",354150,732150,354150,732150,1910,0,0,"","",2,6.02,0,6.5,1,1010530045,0,"0121",986191,216176,"8d","Y","105N042","10404","",0,"","1","","","17V1.1",0,282.279734606,4060.80465711
3283,"01060000203E9101000100000001030000000100000008000000801CEB228D1F2E410068006F2ABF08410063EE5A401F2E41003A234A19BC08410041F163071F2E410012143F73BC084180D5E7AACF1E2E4100267502CBBC08410055C128E31E2E4100B4C87692BD084100CDCCCCC21E2E4100EA95B2C5BD08418095430BFC1E2E4100226C780FC00841801CEB228D1F2E410068006F2ABF0841","MN",422,49,103,"36.01","2000","01",1,10002,"L018",5,14,6500,"1","03","2A","139 EAST HOUSTON STREET","C6-2A","","","","","","","","","","N","J8","05",0,"","S&G HOUSTON REALTY CO",7384,24800,24800,0,0,0,0,0,0,24800,"2",1,3,0,1,78.25,100,62,100,"","0","Y","5","2",693000,3849750,0,0,2000,0,0,"","",3.36,6.02,6,6.5,1,1004220049,0,"003601",987025,202692,"12c","","102 002","10204","E-216",1004220049,"10/24/2002","1","","","17V1.1",0,366.727431735,7752.22856719
3451,"01060000203E910100010000000103000000010000000500000080C64B77A3202E4100E4F21F9B4E0A418012834064202E41005C2041D34C0A4100F46C56AE1F2E4100AE25E4654E0A418003E78CED1F2E410038F8C22D500A4180C64B77A3202E4100E4F21F9B4E0A41","MN",1034,29,104,"121","1000","02",3,10036,"E054",14,15,4500,"1","04","3A","681 8 AVENUE","C6-4","","","","","","CL","MID","","","Y","J9","05",0,"P","PALACE FUNDING INC.",6000,24000,24000,0,0,7920,0,0,0,16080,"2",1,3,0,8,60,100,60,100,"","2","N","3","2",958500,3307950,0,0,1929,1998,0,"","",4,10,10,10,1,1010340029,0,"0121",987156,215504,"8d","","105N044","10403","",0,"","1","","","17V1.1",0,338.231828907,6773.85655689
3472,"01060000203E910100010000000103000000010000000B00000080AF94E5F82D2E4100B003E73B870A410068222CE32D2E41009A99996C870A41808785DACA2D2E4100AC8BDBBC860A4100DF4F0D892D2E41009031774E870A41809DEF67932D2E4100DCB58499870A4180EE5A82082D2E41004694F6CC880A4100D42B25FE2C2E4100F4DBD781880A4180348077912C2E410086C95472890A41000C9369F12C2E41001C0DE0298C0A4100F46C56312E2E41001EA7E863890A4180AF94E5F82D2E4100B003E73B870A41","MN",1024,46,105,"131","2002","02",3,10019,"E023",18,15,4700,"1","05","2A","1681 BROADWAY","C6-7","","","","","","MID","","","","N","J4","05",0,"","SHUBERT ORGANIZATION",14310,36000,36000,0,0,0,0,0,0,36000,"2",2,5,0,1,75.75,179.17,75,179,"","2","Y","3","2",2835000,4037400,0,0,1924,1987,1987,"","",2.52,10,15,15,1,1010240046,0,"0131",988850,217391,"8c","","106W029","10402","",1010240046,"12/30/1987","1","","","17V1.1",0,594.852295497,17516.601396
3811,"01060000203E910100010000000103000000010000000D00000080787A6569442E4100363CBD76E30B4180855A933E442E4100DE2406D6E30B4180F38ED324442E4100AC3E5720E30B4180F4DB9712442E410088D2DE48E30B4100211F340D442E4100AC8BDB1EE30B4180FE437AA2432E4100A69BC40BE40B41005EBA099A432E4100423EE8CEE30B41000DE06D82432E4100CE3B4E03E40B4180C420F071432E4100F8E4618CE30B41805DDCC64C432E4100D200DEDEE30B41801361C3ED432E4100F831E667E80B418088639DD4442E41005A423E6BE60B4180787A6569442E4100363CBD76E30B41","MN",1242,55,107,"183","5001","03",6,10025,"L022",24,16,3110,"1","07","4B","2537 BROADWAY","C4-6A","R8","","","","","EC-3","","","","Y","J5","05",0,"P","SYMPHONY SPACE INC",20500,41250,41250,0,0,0,0,0,0,41250,"2",1,2,0,1,165.17,125,165.17,125,"","0","Y","3","2",2794500,5378850,2794500,5378850,2001,0,0,"","",2.01,10,3.4,10,1,1012420055,0,"0183",991754,228529,"5d","","107S028","10409","",1012420055,"01/04/2000","1","","","17V1.1",0,594.853876335,18236.7708156
4051,"01060000203E910100010000000103000000010000000B00000000992A1822272E4100668863DD8D08418057CAF267262E41001E166A078F084180A679477B262E410090C2F5CB8F084100BF0E5CBA252E4100F4DBD700910841004B5946F1252E41003433332F930841803BDF8F53262E41001895D491920841005A64FB81262E4100DCD781479208410033C431B2262E4100F2B050FA910841009A089BFD262E4100986E12F994084100371AC0B7272E4100BA6B09CF93084100992A1822272E4100668863DD8D0841","MN",353,54,103,"14.02","1001","01",1,10002,"L018",7,14,7400,"1","03","2A","107 SUFFOLK STREET","R7A","","","","","","","","","","N","J9","05",0,"C","DEPARTMENT OF CULTURA",27617,90300,90300,0,90300,0,0,0,0,0,"2",1,5,0,2,75.25,200.33,197,98,"","2","Y","3","2",1516500,7202700,1516500,7202700,1900,1986,2013,"","",3.27,4,0,4,1,1003530054,0,"001402",987996,201228,"12c","","101N079","10201","",0,"","1","","","17V1.1",0,817.096292413,28283.1621648
4132,"01060000203E910100010000000103000000010000000500000000B9FC071A212E4100BC7493C53E0A418025E4C3B1202E41008C6CE7D03B0A4180CF66953A202E4100923A01D93C0A4180D0B3D9A2202E4100A0ABADCD3F0A4100B9FC071A212E4100BC7493C53E0A41","MN",1013,57,105,"113","1002","02",3,10036,"E026",14,15,5200,"1","05","1H","258 WEST 42 STREET","C6-7","","","","","","MID","","","","N","J8","05",0,"C","NYC EDC",6863,170744,170744,0,0,0,0,0,0,170744,"2",1,4,0,1,69.5,98.75,69.5,98.75,"E","0","N","5","5",1800000,6606450,1800000,6606450,1999,0,0,"","",24.88,10,15,15,1,1010130057,0,"0113",987221,214969,"8d","","15N 045","10402","",1010130012,"05/04/2005","1","","","17V1.1",0,352.248187811,7357.38096017
4139,"01060000203E9101000100000001030000000100000005000000800A466580172E4100A6BDC1BF530A418075711B1F172E410054742402510A41008048BFCA162E4100560E2DBD510A41009F3CEC2B172E4100703D0A7B540A41800A466580172E4100A6BDC1BF530A41","MN",1051,41,104,"115","2000","02",3,10036,"L021",10,15,4500,"1","04","3B","416 WEST 42 STREET","C6-4","","","","","","CL","","","","N","J7","05",0,"X","PLAYWRIGHTS HORIZONS",4962,29400,29400,0,0,0,0,0,0,29400,"2",1,6,0,1,50.25,98.75,50,98,"","2","N","5","2",621000,5093550,621000,5093550,2002,0,0,"","",5.93,10,10,10,1,1010510041,0,"0115",986002,215639,"8d","","105N041","10404","",0,"","1","","","17V1.1",0,297.094048346,4839.75515838
4496,"01060000203E9101000100000001030000000100000007000000801361C39B342E41006E3480E6670B418073461436342E41004C158C02650B4100A470FD09342E4100DCF97E63650B41804E409322342E410042CF6616660B41001748103C342E41008AB0E1CF660B41807AA5AC6F342E4100B4EA7347680B41801361C39B342E41006E3480E6670B41","MN",1169,46,107,"163","5000","03",6,10024,"L025",20,16,3400,"1","07","2B","236 WEST 78 STREET","C4-6A","","","","","","","","","","N","J9","05",0,"P","DANA ZELLER 2015 FAMI",2550,6567,4925,1642,0,4925,0,0,0,0,"2",1,4,1,4,25,102.17,25,92,"E","3","N","5","2",180000,832500,0,0,1900,0,0,"","",2.58,10,3.4,10,1,1011690046,0,"0163",989737,224468,"5d","","107S004","10407","",0,"","1","","","17V1.1",0,261.405696576,2655.13757046
5499,"01060000203E9101000100000001030000000100000006000000804013A1F1F82D4100B0E1E96F51094100A7E8C8D7F82D41008048BF5C510941007D3F75C6F82D4100D49AE64F51094180B20C71A3F82D4100A835CD44540941003FC69CCEF82D4100847CD064540941804013A1F1F82D4100B0E1E96F510941","MN",634,13,102,"75","2000","02",3,10014,"L005",6,15,6400,"1","02","3B","124 BANK STREET","R6","","","","","","","","","","N","J1","05",0,"X","H B PLAYWRIGHTS FDTSI",2050,1942,1942,0,0,0,0,0,0,1942,"2",1,1,0,1,21.58,95,21.58,90,"","2","N","5","0",184500,338850,184500,338850,1936,1980,0,"Greenwich Village Historic District","",0.95,2.43,0,4.8,1,1006340013,0,"0075",982117,207451,"12a","","103 013","10210","",0,"","1","","","17V1.1",0,236.344447442,2112.32414313
5903,"01060000203E9101000100000001030000000100000005000000001DC9A54E1E2E41005A643BAABB0A410022FD36E91D2E4100F697DDC8B80A41804AEA04BF1D2E4100F0F44A26B90A41809CA263241E2E4100A0F83107BC0A41001DC9A54E1E2E41005A643BAABB0A41","MN",1083,26,104,"135","1009","02",6,10019,"E040",18,15,4500,"1","04","3B","511 WEST 54 STREET","M1-5","","","","","","CL","","","","N","J9","05",0,"P","511 WEST 54TH STREETA",2510,12500,12500,0,6162,0,0,0,0,6338,"2",1,4,0,1,25,100.42,25,100,"","2","N","5","2",240750,1045800,0,0,1960,1990,1999,"","",4.98,0,5,6.5,1,1010830026,0,"0135",986883,218957,"8c","","106W007","10405","",0,"","1","","","17V1.1",0,258.567648069,2536.06862861
6152,"01060000203E910100010000000103000000010000000700000000E3365ACF212E4100CAE53F37AE0A410063EE1A9C212E4100ECC039CCAC0A4180AA605408212E410094180499A80A41803E579BB1202E4100448B6C59A90A410092CBBF14212E4100AE47E125AC0A4100772DA178212E41007A58A8F7AE0A4100E3365ACF212E4100CAE53F37AE0A41","MN",1063,51,104,"133","4000","02",3,10019,"E040",18,15,4700,"1","04","3B","433 WEST 53 STREET","C6-2","","","","","","CL","","","","N","J6","05",0,"P","15024 EMMUT PROPERTIE",10042,14000,14000,0,0,0,0,0,0,14000,"2",1,2,0,1,50,200.83,50,201,"","3","N","4","0",693000,1406700,0,0,1963,1988,0,"","",1.39,6.02,6,6.5,1,1010630051,0,"0133",987296,218489,"8c","","106W015","10404","",0,"","1","","","17V1.1",0,510.137410495,10143.3813708
6166,"01060000203E9101000100000001030000000100000007000000009487C5FE1C2E41006EC5FE60640841809D80A6D01C2E41002C651991620841008048FF281C2E4100ACADD89F6308418068912D3B1C2E41007EAEB656640841001A515A4D1C2E410026E4830D65084100F6971D571C2E41007EAEB66F650841009487C5FE1C2E41006EC5FE60640841","MN",298,28,103,"16","5001","02",1,10002,"E015",7,14,7400,"1","03","2B","7 LUDLOW STREET","C6-2","","","","","","","","","","N","J3","05",0,"","VJHC HOLDING CORP.",5545,8935,8935,0,0,0,0,0,0,8935,"2",1,2,0,1,62.83,88.25,63,88,"","3","N","5","0",1125000,2159550,0,0,1958,2014,0,"","",1.61,6.02,6,6.5,1,1002980028,0,"0016",986697,199808,"12d","","101N051","10107","",0,"","1","","","17V1.1",0,305.605743815,5641.12620129
6882,"01060000203E910100010000000103000000010000000D0000008014AE0733252E4100C66D3454400A4100DE02C9CD242E4100C2F5286A3D0A41000F0BF58C242E410012363CFA3D0A4100DAACBA25242E4100E02D90013B0A410067D56704242E41009C559F4B3B0A41000A68A26B242E4100168C4A443E0A418014AE07CB232E4100A4923AA93F0A418091ED7CC1232E41001E85EB623F0A4180006F41AA232E4100E04F8D963F0A4180832FCCB3232E41001A2FDDDC3F0A4100DFE00B4C232E41006ADE71C3400A4180A7574AB1232E4100B6847CAD430A418014AE0733252E4100C66D3454400A41","MN",1014,39,105,"119","2005","02",3,10036,"E026",14,15,5200,"1","05","","214 WEST 43 STREET","C6-5","C6-7","","","","","MID","","","","Y","J4","05",0,"C","NYC EDC",24176,85092,85092,0,0,0,0,0,0,85092,"2",2,4,0,1,219.33,200.83,211,100,"E","0","Y","5","5",2798550,6872400,2798550,6872400,1903,0,0,"","",3.52,10,10,10,1,1010140039,0,"0119",987679,215047,"8d","","105N045","10402","",0,"","1","","","17V1.1",0,889.878418224,25605.7971897
7016,"01060000203E9101000100000001030000000100000005000000800B24283A392E4100A857CA14D1094180DA1BFC26392E4100083D9B89D0094100575BB1DD382E4100022B872BD10941008941E0F0382E4100C420B0B6D10941800B24283A392E4100A857CA14D10941","MN",891,57,106,"80","3000","02",4,10016,"L007",17,14,5300,"1","06","2B","3 SNIFFEN COURT","R8B","","","","","","","","","","N","J4","05",0,"","AMATEUR COMEDY CLUB",810,1540,1540,0,0,0,0,0,0,1540,"2",1,2,0,1,19.75,41,19.75,39,"","3","N","3","2",94500,180900,0,0,1850,0,0,"Sniffen Court Historic District","",1.9,4,0,4,1,1008910057,0,"0080",990341,211492,"8d","","104 031","10307","",0,"","1","","","17V1.1",0,123.44990214,831.528275408
7017,"01060000203E9101000100000001030000000100000006000000803099AA6B012E41000CB5A655F90941001973D709012E4100D066D595F60941805DDC06F2002E4100666666CAF609410021B072C3002E4100C64B3731F709418052276025012E41005C6DC5F1F90941803099AA6B012E41000CB5A655F90941","MN",698,54,104,"99","1030","02",3,10001,"E003",10,15,5500,"1","04","2B","530 WEST 27 STREET","M1-5","","","","","","WCH","","","","N","J5","05",0,"P","27TH STREET PROPERTY",3839,22524,22524,0,0,0,0,0,0,22524,"2",1,6,0,6,38.83,98.75,38.84,80,"","3","N","5","2",316800,3900600,0,0,1920,2004,2003,"","",5.87,0,5,6.5,1,1006980054,0,"0099",983179,212744,"8b","","105S004","10301","",0,"","1","","1","17V1.1",0,281.825488249,4048.6492179
7056,"01060000203E910100010000000103000000010000000700000080E7FBA9EF192E4100EA2631CF5E0A4180F1D24DD7192E410070CE88205E0A41805BB1BFBE192E4100900F7A705D0A4100728A0E8B192E4100627FD9FD5B0A4100C1392333192E41009A9999C05C0A4100925CBE97192E41002041F1915F0A4180E7FBA9EF192E4100EA2631CF5E0A41","MN",1053,27,104,"121","3000","02",3,10036,"E054",18,15,4500,"1","04","3B","407 WEST 43 STREET","R8","","","","","","CL","","","","N","J7","05",0,"","SINGER TRUST",5021,11343,11343,0,0,0,0,0,0,11343,"2",1,3.5,0,1,50,100.42,50,100,"","3","N","5","2",402750,1188900,0,0,1855,1983,0,"","",2.26,6.02,0,6.5,1,1010530027,0,"0121",986312,215992,"8d","","105N042","10404","",0,"","1","","","17V1.1",0,307.001502684,5188.33643547
7392,"01060000203E91010001000000010300000001000000080000000076E05C42342E4100A62C43D5FF0A418059F579DF332E4100EE7C3F0EFD0A41804AEA4464342E41002EFF21E8FB0A41805374E401342E4100643BDF24F90A4100E56161CE322E410016D9CECDFB0A4100DD24C630332E410008CE1991FE0A4180302AA993332E4100C07D1D58010B410076E05C42342E4100A62C43D5FF0A41","MN",1119,8,107,"153","7001","03",6,10023,"L035",20,15,4000,"1","07","1A","77 WEST 66 STREET","C4-7","","","","","","","","","","N","J6","05",0,"","AMERICAN BROADCASTING",27575,287822,287822,0,287822,0,0,0,0,0,"2",2,22,0,1,175,200,175,200,"","0","Y","4","5",10700550,27512550,0,0,1988,2005,0,"","",10.44,10,10,10,1,1011190008,0,"0153",989644,221109,"8c","","106W025","10406","",1011190061,"09/08/1993","1","","","17V1.1",0,757.237729998,27935.1113335
