"document_id","doc_type","bbl","full_address","unit","borough","property_type","recorded / filed","doc_amount"
"2018031300612003","MORTGAGE",2055591002,"815 HUTCHINSON RVR PKWY","2","BRONX","OTHER","2018-03-23 00:00:00",68500000
"2018031300612004","ASSIGNMENT OF LEASES AND RENTS",2055591002,"815 HUTCHINSON RVR PKWY","2","BRONX","OTHER","2018-03-23 00:00:00",68500000
"2018031900990002","MORTGAGE",2022600062,"NAN EAST 132 STREET","","BRONX","COMMERCIAL REAL ESTATE","2018-03-30 00:00:00",50000000
"2018031900990002","MORTGAGE",2025430001,"2 ST ANNS AVENUE","","BRONX","COMMERCIAL REAL ESTATE","2018-03-30 00:00:00",50000000
"2018031900990001","AGREEMENT",2022600062,"NAN EAST 132 STREET","","BRONX","COMMERCIAL REAL ESTATE","2018-03-30 00:00:00",45000000
"2018031900990001","AGREEMENT",2025430001,"2 ST ANNS AVENUE","","BRONX","COMMERCIAL REAL ESTATE","2018-03-30 00:00:00",45000000
"2018030400014018","MORTGAGE",2028070016,"1995 CRESTON AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018030400014018","MORTGAGE",2028070022,"1985 CRESTON AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018030400014018","MORTGAGE",2028070052,"2038 MORRIS AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018030400014018","MORTGAGE",2028070056,"2042 MORRIS AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018030400014018","MORTGAGE",2028090031,"264 ECHO PLACE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018030400014018","MORTGAGE",2028490024,"1735 TOWNSEND AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018030400014018","MORTGAGE",2028490064,"1734 TOWNSEND AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018030400014018","MORTGAGE",2028610123,"1800 DAVIDSON AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018030400014018","MORTGAGE",2028610135,"1822 DAVIDSON AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018030400014018","MORTGAGE",2028670134,"1821 DAVIDSON AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018030400014018","MORTGAGE",2028670139,"1815 DAVIDSON AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018030400014018","MORTGAGE",2028670147,"1789 DAVIDSON AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018030400014018","MORTGAGE",2030260007,"2474 MARION AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",38150901
"2018031401030005","AGREEMENT",2025140005,"1070 OGDEN AVENUE","","BRONX","COMMERCIAL REAL ESTATE","2018-03-15 00:00:00",27800000
"2018030900658001","MORTGAGE",2036220001,"801 COLGATE AVE","","BRONX","COMMERCIAL REAL ESTATE","2018-03-15 00:00:00",26500000
"2018030900658001","MORTGAGE",2036220018,"1410 STORY AVENUE","","BRONX","COMMERCIAL REAL ESTATE","2018-03-15 00:00:00",26500000
"2018030900658002","ASSIGNMENT OF LEASES AND RENTS",2036220001,"801 COLGATE AVE","","BRONX","COMMERCIAL REAL ESTATE","2018-03-15 00:00:00",26500000
"2018030900658002","ASSIGNMENT OF LEASES AND RENTS",2036220018,"1410 STORY AVENUE","","BRONX","COMMERCIAL REAL ESTATE","2018-03-15 00:00:00",26500000
"2018013000995001","AGREEMENT",2027350020,"925 HUNTS POINT AVENUE","","BRONX","COMMERCIAL REAL ESTATE","2018-03-05 00:00:00",25000000
"2018032701220003","AGREEMENT",2057500500,"2973 INDEPENDENCE AVENUE","","BRONX","COMMERCIAL REAL ESTATE","2018-03-30 00:00:00",22240000
"2018030400014016","MORTGAGE",2028070016,"1995 CRESTON AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",17700352
"2018030400014016","MORTGAGE",2028070022,"1985 CRESTON AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",17700352
"2018030400014016","MORTGAGE",2028070052,"2038 MORRIS AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",17700352
"2018030400014016","MORTGAGE",2028070056,"2042 MORRIS AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",17700352
"2018030400014016","MORTGAGE",2028090031,"264 ECHO PLACE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",17700352
"2018030400014016","MORTGAGE",2028490024,"1735 TOWNSEND AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",17700352
"2018030400014016","MORTGAGE",2028490064,"1734 TOWNSEND AVENUE","","BRONX","APARTMENT BUILDING","2018-03-08 00:00:00",17700352
