"id","geom","borough","block","lot","cd","ct2010","cb2010","schooldist","council","zipcode","firecomp","policeprct","healthcent","healtharea","sanitboro","sanitdistr","sanitsub","address","zonedist1","zonedist2","zonedist3","zonedist4","overlay1","overlay2","spdist1","spdist2","spdist3","ltdheight","splitzone","bldgclass","landuse","easements","ownertype","ownername","lotarea","bldgarea","comarea","resarea","officearea","retailarea","garagearea","strgearea","factryarea","otherarea","areasource","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","bsmtcode","assessland","assesstot","exemptland","exempttot","yearbuilt","yearalter1","yearalter2","histdist","landmark","builtfar","residfar","commfar","facilfar","borocode","bbl","condono","tract2010","xcoord","ycoord","zonemap","zmcode","sanborn","taxmap","edesignum","appbbl","appdate","plutomapid","firm07_fla","pfirm15_fl","version","mappluto_f","shape_leng","shape_area"
273,"01060000203E9101000100000001030000000100000007000000000EBE30304C2E41008E976E3BF1094180A0F831E64B2E41006C9A772BEF0941805CFE035B4B2E4100107A3663F0094180FD6537314B2E41003E0AD7C0F009410088F41B4D4B2E4100029A088AF10941809999997A4B2E4100C4D32BD2F20941000EBE30304C2E41008E976E3BF10941","MN",1336,27,106,"88","5000","02",4,10017,"E021",17,13,5000,"1","06","2B","773 1 AVENUE","C5-2","","","","","","U","","","","N","Z4","08",0,"X","GOVERNMENT OF BRUNEID",7500,37500,37500,0,0,0,0,0,0,37500,"2",2,5,0,2,75,100,25,100,"","3","N","5","2",3714300,12637800,3714300,12637800,1966,2000,0,"","",5,10,10,10,1,1013360027,0,"0088",992728,212511,"8d","","104 036","10506","",0,"","1","","","17V1.1",0,359.089680834,7859.86216836
764,"01060000203E910100010000000103000000010000000600000080C729FA8F582E4100BC749389AF0A4180E9267128582E41002497FF9FAC0A4180E314DDBF572E410022DBF987AD0A4180DFBE4E22572E41006ABC74E5AE0A410083C0CA89572E41003208ACCEB10A4180C729FA8F582E4100BC749389AF0A41","MN",1401,42,108,"120","1001","02",4,10065,"E039",19,13,4100,"1","08","1A","136 EAST 67 STREET","R8B","","","","","","","","","","N","Z4","08",0,"X","THE REPUBLIC OF BELAR",15062,115000,115000,0,115000,0,0,0,0,0,"2",1,13,0,4,150,100.42,150,73.42,"","3","N","5","2",7695000,16186050,7695000,16186050,1961,0,0,"","",7.64,4,0,4,1,1014010042,0,"0120",994284,218598,"8c","","106E047","10509","",0,"","1","","","17V1.1",0,512.909590488,15973.7637245
1041,"01060000203E910100010000000103000000010000000500000000508D9727432E4100B003E7BA190A41005F988CC5422E41009E8026F4160A4100EBE2B68D422E410062C3D36F170A41003945C7EF422E4100A401BC361A0A4100508D9727432E4100B003E7BA190A41","MN",1300,44,106,"92","1011","02",4,10017,"L002",17,13,4800,"1","06","3A","154 EAST 46 STREET","C5-2.5","","","","","","MID","","","","N","Z4","08",0,"X","GOVERNMENT/THE REPUBL",3213,18810,18810,0,18810,0,0,0,0,0,"2",1,5,0,1,32,100.42,32,70,"","3","N","5","2",940500,2419650,940500,2419650,1925,1989,2003,"","",5.85,10,12,12,1,1013000044,0,"0092",991597,213778,"8d","","104 044","10504","",0,"","1","","","17V1.1",0,266.788290153,3238.50209036
3321,"01060000203E910100010000000103000000010000000700000000053451BE3E2E4100BCE314C2800A41007F6A7C5E3E2E41006054520C7E0A41805296A1333E2E4100AC1C5A6B7E0A41800378CB2E3E2E410086A757487E0A41002B8716033E2E4100A62C43A97E0A41005C20C1673E2E41004CC80782810A4100053451BE3E2E4100BCE314C2800A41","MN",1271,47,105,"104","1000","02",4,10019,"E023",18,13,4800,"1","05","2B","12 WEST 56 STREET","C5-P","","","","","","MID","","","","N","Z4","08",0,"X","ARGENTINE REPUBLIC",5000,18687,18687,0,0,0,0,0,0,18687,"2",1,5,0,1,50,100,38,82,"","0","Y","5","2",2178000,5142600,2178000,5142600,1900,1995,0,"","HARRY B. HOLLINS RESIDENCE",3.74,8,8,8,1,1012710047,0,"0104",991024,217079,"8c","","106W034","10502","",0,"","1","","","17V1.1",0,307.127170601,5027.93983026
4510,"01060000203E910100010000000103000000010000000600000080F83126254E2E4100C876BEF13E0A41002FDDA4454E2E4100F0F44AAA3E0A4100166A8DE44D2E41003208ACD83B0A4100492EBFA04D2E4100E8D9AC6E3C0A4180270FCB014E2E4100D8F0F43F3F0A4180F83126254E2E4100C876BEF13E0A41","MN",1326,15,106,"98","2000","02",4,10022,"E008",17,13,5000,"1","06","3A","235 EAST 52 STREET","R8B","","","","","","","","","","N","Z4","08",0,"X","GOVERNMENT OF REP ZAM",3966,10623,10623,0,10623,0,0,0,0,0,"2",2,5,0,1,39.5,100.42,39.5,84,"E","2","N","5","2",1471500,2043450,1471500,2043450,1924,1957,0,"","",2.68,4,0,4,1,1013260015,0,"0098",993017,214961,"8d","","106E051","10506","",0,"","1","","","17V1.1",0,282.308848552,3966.95585381
6503,"01060000203E9101000100000001030000000100000007000000808638D6EF482E4100C8BAB85CFA09418072685190482E4100EC51B8ABF709410010E9373C482E410074931868F80941006C78BA67482E41006A6FF0A1F9094180B88D8645482E410004E78CEEF909418039B48879482E410034A2B465FB0941808638D6EF482E4100C8BAB85CFA0941","MN",1336,47,106,"88","5000","02",4,10017,"E021",17,13,5000,"1","06","2B","304 EAST 44 STREET","C5-2","","","","","","TA","","","","N","Z4","08",0,"X","GOVERNMENT OF EGYPT",5925,37395,37395,0,37395,0,0,0,0,0,"2",1,5,0,1,68,100.42,68,100.42,"","0","Y","5","2",1188000,3897900,1188000,3897900,1910,1991,0,"","BEAUX-ARTS INSTITUTE OF DESIGN",6.31,10,10,10,1,1013360047,0,"0088",992327,212786,"8d","","104 036","10506","",0,"","1","","","17V1.1",0,332.549528142,5797.10048141
7386,"01060000203E910100010000000103000000010000000600000000BE3099305D2E4100A4923AC83B0B4180BA490C185D2E4100CAE53F173B0B410097FF50EE5C2E4100C286A7733B0B4100A08970D25B2E410012363CE83D0B4180A52C03EB5B2E4100E86A2B993E0B4100BE3099305D2E4100A4923AC83B0B41","MN",1494,72,108,"142","6001","02",4,10028,"E022",19,13,3600,"1","08","4A","1014 5 AVENUE","R10","R8B","","","","","PI","","","LH-1A","Y","Z4","08",0,"X","FEDL REPUB OF GERMANY",4697,12918,12918,0,12918,0,0,0,0,0,"2",1,6,0,0,25.67,183,25,75,"E","0","N","5","5",2047500,3276000,2047500,3276000,1910,0,0,"Metropolitan Museum Historic District","",2.75,10,0,10,1,1014940072,0,"0142",994880,223131,"8c","","108S010","10513","",0,"","1","","","17V1.1",0,422.756450444,4707.79375853
8214,"01060000203E9101000100000001030000000100000005000000807DAE36AC542E41006A2BF65E020B4100C7BAF880542E4100DC460328010B410080B7009F532E410070F0851D030B4180C8763ECA532E4100226C7854040B41807DAE36AC542E41006A2BF65E020B41","MN",1389,71,108,"130","4002","02",4,10021,"E044",19,13,4100,"1","08","2A","934 5 AVENUE","R10","","","","","","PI","","","","N","Z4","08",0,"X","REPUBLIC OF FRANCE",5400,21443,21443,0,21443,0,0,0,0,0,"2",1,6,0,1,45,120,45,106.15,"","3","N","5","2",4441500,7402500,4441500,7402500,1925,1980,0,"Upper East Side Historic District","",3.97,10,0,10,1,1013890071,0,"0130",993810,221271,"8c","","108S001","10508","",0,"","1","","","17V1.1",0,347.375661004,5746.92177004
8825,"01060000203E910100010000000103000000010000000500000000DFE04B67352E4100900F7A85FB0941803C2C9405352E4100728A8EC3F80941807DAE76AD342E4100EA73B586F90941808D972E0F352E41000AF9A048FC094100DFE04B67352E4100900F7A85FB0941","MN",869,27,106,"82","1004","02",4,10016,"E021",17,15,5200,"1","06","2B","27 EAST 39 STREET","C5-2.5","","","","","","MID","","","","N","Z4","08",0,"P","GOVERNMENT OF THE UNI",4937,15000,15000,0,15000,0,0,0,0,0,"2",1,5,0,3,50,98.75,50,66,"","3","N","5","2",945000,1558350,945000,1558350,1946,1987,0,"","",3.04,10,12,12,1,1008690027,0,"0082",989829,212816,"8d","","104 030","10306","",0,"","1","","","17V1.1",0,302.447377619,5079.49142188
8992,"01060000203E9101000100000001030000000100000006000000803177AD034D2E4100840D4F1C380A4180FC1873214D2E4100462575DA370A41800E2D32BF4C2E4100B003E711350A4180F3FD947E4C2E41001283C0A0350A4180BDC1D7E04C2E41001AC05B69380A41803177AD034D2E4100840D4F1C380A41","MN",1325,17,106,"98","2001","02",4,10022,"E008",17,13,5000,"1","06","3A","231 EAST 51 STREET","R8B","","","","","","","","","","N","Z4","08",0,"X","REPUBLIC SINGAPORE",3682,18045,18045,0,13560,3390,0,0,0,1095,"2",1,5,0,12,36.67,100.42,36.67,98,"","3","N","5","2",900000,1710900,900000,1710900,1920,1981,1993,"","",4.9,4,0,4,1,1013250017,0,"0098",992872,214743,"8d","","104 052","10506","",0,"","1","","","17V1.1",0,277.272184861,3754.91524868
